Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,51.470001,51.855000,45.712502,46.430000,44.936695,794604400
2019-05-14,46.602501,48.117500,45.070000,45.772499,44.470943,670388800
2019-05-21,46.305000,47.000000,44.452499,44.742500,43.470226,473431200
2019-05-28,44.730000,45.147499,42.567501,43.325001,42.093037,580350000
2019-06-04,43.860001,48.842499,43.630001,48.145000,46.775986,560692000
2019-06-11,48.715000,49.197498,47.575001,48.472500,47.094162,401165200
2019-06-18,49.012501,50.212502,48.802502,49.645000,48.233330,540840800
2019-06-25,49.607498,51.122501,48.822498,50.387501,48.954712,505604400
2019-07-02,50.352501,51.270000,49.602501,50.005001,48.583096,283605200
2019-07-09,49.799999,51.467499,49.702499,51.302502,49.843704,372838000
2019-07-16,51.147499,51.807499,50.590000,51.805000,50.331902,370888400
2019-07-23,52.115002,52.660000,51.682499,52.419998,50.929417,346194800
2019-07-30,52.189999,55.342499,48.145000,48.334999,46.960567,1001960400
2019-08-06,49.077499,50.882500,48.455002,50.119999,48.694817,573201200
2019-08-13,50.255001,53.182499,49.917500,52.587502,51.286278,652109200
2019-08-20,52.720001,53.610001,50.250000,51.622501,50.345154,574140000
2019-08-27,51.965000,52.612499,50.830002,52.185001,50.893734,335784000
2019-09-03,51.607498,54.110001,51.055000,53.542500,52.217644,439186000
2019-09-10,53.465000,56.605000,52.927502,54.974998,53.614697,676862400
2019-09-17,54.990002,55.939999,54.367500,54.680000,53.327000,561191600
2019-09-24,55.257500,56.145000,54.285000,55.992500,54.607025,493028400
2019-10-01,56.267502,57.482498,53.782501,56.764999,55.360409,652883200
2019-10-08,56.455002,59.532501,56.082500,58.967499,57.508408,562827200
2019-10-15,59.097500,60.247501,58.299999,60.127499,58.639706,413529200
2019-10-22,60.290001,62.312500,59.904999,62.262501,60.721878,397447600
2019-10-29,62.242500,64.462502,59.314999,64.375000,62.782108,660920800
2019-11-05,64.262497,65.617500,63.842499,65.550003,63.928024,402510000
2019-11-12,65.387497,66.857498,65.230003,66.775002,65.318230,466215600
2019-11-19,66.974998,67.000000,65.099998,66.592499,65.139709,453142400
2019-11-26,66.735001,67.062500,65.625000,66.040001,64.599266,311548000
2019-12-03,64.577499,67.750000,64.072502,66.730003,65.274223,490154400
2019-12-10,67.150002,70.197502,66.464996,69.964996,68.438652,568261200
2019-12-17,69.892502,71.062500,69.639999,71.000000,69.451073,703106000
2019-12-24,71.172501,73.492500,70.730003,72.879997,71.290054,431980400
2019-12-31,72.482498,75.150002,72.379997,74.949997,73.314888,500996000
2020-01-07,74.959999,79.267502,74.290001,79.239998,77.511299,673236400
2020-01-14,79.175003,79.684998,77.387497,79.682503,77.944145,530523600
2020-01-21,79.297501,80.832497,76.220001,77.237503,75.552490,625625200
2020-01-28,78.150002,81.962502,75.555000,77.165001,75.481575,878583200
2020-02-04,78.827499,81.305000,78.407501,80.387497,78.633774,587901600
2020-02-11,80.900002,81.805000,79.677498,81.237503,79.653824,382914800
2020-02-18,78.839996,81.162498,72.307503,74.544998,73.091774,698830400
2020-02-25,75.237503,75.632500,64.092499,74.702499,73.246216,1517241200
2020-03-03,75.917503,76.000000,65.750000,66.542503,65.245285,1239148400
2020-03-10,69.285004,71.610001,60.000000,60.552502,59.372066,1652518400
2020-03-17,61.877499,64.402496,53.152500,56.092499,54.999004,1634592800
2020-03-24,59.090000,64.669998,58.575001,63.702499,62.460644,1215413600
2020-03-31,63.900002,65.777496,59.224998,65.617500,64.338333,870854800
2020-04-07,67.699997,68.425003,64.750000,68.312500,66.980797,664640000
2020-04-14,70.000000,72.062500,69.212502,69.232498,67.882851,828539600
2020-04-21,69.070000,71.135002,66.357498,70.792503,69.412445,665917200
2020-04-28,71.269997,74.750000,69.550003,73.290001,71.861244,806534400
2020-05-05,73.764999,79.262497,73.614998,78.752502,77.217255,685084800
2020-05-12,79.457497,79.922501,75.052498,78.739998,77.413994,823379600
2020-05-19,78.757500,80.222504,78.252502,79.722504,78.379951,397726400
2020-05-26,80.875000,81.059998,78.272499,80.462502,79.107491,606351600
2020-06-02,80.187500,83.400002,79.732498,83.364998,81.961098,512599200
2020-06-09,83.035004,88.692497,83.002502,85.747498,84.303482,854981200
2020-06-16,87.864998,89.864998,86.180000,89.717499,88.206635,776576800
2020-06-23,91.000000,93.095001,87.820000,90.445000,88.921883,878204000
2020-06-30,90.019997,93.945000,90.000000,93.462502,91.888573,483657600
2020-07-07,93.852501,99.955002,93.057503,95.477501,93.869629,637065600
2020-07-14,94.839996,99.247498,93.877502,98.357498,96.701126,617269600
2020-07-21,99.172501,99.250000,89.144997,94.809998,93.213379,696092000
2020-07-28,94.367500,111.637497,93.247498,108.937500,107.102959,1034572800
2020-08-04,109.132500,114.412498,108.387497,112.727501,110.829147,907726400
2020-08-11,111.970001,116.087502,109.107498,114.607498,112.880638,848709200
2020-08-18,114.352501,128.785004,114.007500,125.857498,123.961128,1062071200
2020-08-25,124.697502,131.000000,123.052498,129.039993,127.095680,943403100
2020-09-01,132.759995,137.979996,110.889999,120.959999,119.137413,942273900
2020-09-08,113.949997,120.500000,110.000000,115.360001,113.621796,911591900
2020-09-15,118.330002,118.830002,103.099998,110.080002,108.421356,1000150700
2020-09-22,112.680000,115.320000,105.000000,114.959999,113.227821,789171200
2020-09-29,114.550003,117.720001,112.220001,116.500000,114.744621,609133600
2020-10-06,115.699997,125.180000,112.250000,124.400002,122.525589,682558100
2020-10-13,125.269997,125.389999,115.660004,115.980003,114.232468,761634800
2020-10-20,116.199997,118.980003,112.879997,115.050003,113.316467,510781000
